"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"C6,C10,C12,C14,C13,C11,C15,C9,C5,C16,C43";"C_0402_1005Metric";11;"100nF";;;
2;"C41,C42,C40";"C_0402_1005Metric";3;"1n";;;
3;"Jd1";"PinHeader_1x04_P2.54mm_Vertical";1;"Conn_01x03";;;
4;"R5,R4";"R_0402_1005Metric";2;"27.4";;;
5;"R11,R8,R3";"R_0402_1005Metric";3;"2.2";;;
6;"U8,U10,U9";"SOT-23-5";3;"INA180A3";;;
7;"C18,C17";"C_0402_1005Metric";2;"18pF";;;
8;"C4,C3";"C_0603_1608Metric";2;"10uF";;;
9;"J2";"TerminalBlock_MaiXu_MX126-5.0-02P_1x02_P5.00mm";1;"Conn_01x02";;;
10;"R21";"R_0402_1005Metric";1;"20k";;;
11;"C19,C21,C2";"C_0402_1005Metric";3;"1u 24v";;;
12;"R22,R19,R6,R20,R18";"R_0402_1005Metric";5;"1k";;;
13;"R26,R24,R25,R14,R27";"R_0402_1005Metric";5;"10k";;;
14;"R15,R16,R17";"R_1206_3216Metric";3;"2m";;;
15;"R13,R2,R12,R10,R1,R9";"R_0402_1005Metric";6;"1";;;
16;"U7";"SOT-89-3";1;"MG78M12N3";;;
17;"U1,U6,U5";"SOIC-8_3.9x4.9mm_P1.27mm";3;"~";;;
18;"C22,C1,C20";"C_0402_1005Metric";3;"100n 24V";;;
19;"C8,C7";"C_0402_1005Metric";2;"1uF";;;
20;"Y1";"Crystal_SMD_3225-4Pin_3.2x2.5mm";1;"TX322516M";;;
21;"U4";"SOIC-8_5.3x5.3mm_P1.27mm";1;"W25Q16JVSS";;;
22;"Q4,Q3,Q2,Q6,Q1,Q5";"TDSON-8-1";6;"BSC040N08NS5";;;
23;"J1,J3";"PinHeader_1x02_P2.54mm_Vertical";2;"Conn_01x02";;;
24;"J6,J4,J5";"PinHeader_1x02_P1.00mm_Vertical";3;"Conn_01x02";;;
25;"J101";"USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal";1;"USB4105-GF-A";;;
26;"U2";"QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm";1;"RP2040";;;
27;"D2,D1,D3";"D_SOD-123F";3;"D";;;
28;"R106,R105";"R_0603_1608Metric";2;"5.1k";;;
29;"R7,R23";"R_0402_1005Metric";2;"0";;;
30;"C23";"C_0603_1608Metric";1;"0.33uf";;;
31;"C39,C37,C38";"C_0402_1005Metric";3;"100n";;;
32;"C24";"C_0603_1608Metric";1;"100n";;;
33;"D4,D5";"LED_0603_1608Metric";2;"LED";;;
34;"U3";"SOT-223-3_TabPin2";1;"AMS1117-3.3";;;
35;"C28,C25,C36,C26,C30,C35,C34,C32,C29,C33,C31,C27";"C_1206_3216Metric";12;"10uF";;;
36;"U11";"AS5600L-ASOM_AMS";1;"AS5600L-ASOM";;;
